Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
71,GMRS 1,462.562500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
72,GMRS 2,462.587500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
73,GMRS 3,462.612500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
74,GMRS 4,462.637500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
75,GMRS 5,462.662500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
76,GMRS 6,462.687500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
77,GMRS 7,462.712500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
78,GMRS 8,467.562500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
79,GMRS 9,467.587500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
80,GMRS 10,467.612500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
81,GMRS 11,467.637500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
82,GMRS 12,467.662500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
83,GMRS 13,467.687500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
84,GMRS 14,467.712500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
85,GMRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
86,GMRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
87,GMRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
88,GMRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
89,GMRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
90,GMRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
91,GMRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
92,GMRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
93,GMRS15R,462.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
94,GMRS16R,462.575000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
95,GMRS17R,462.600000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
96,GMRS18R,462.625000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
97,GMRS19R,462.650000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
98,GMRS20R,462.675000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
99,GMRS21R,462.700000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
100,GMRS22R,462.725000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
